parameter,value,cutoff,cat
lnkAD,0.052942291,0.05-0.1,tSI
lnkTSDAq,0.361768062,>0.3,tSI
lnkADAq,0.708029148,>0.3,tSI
PBC,0.056433439,0.05-0.1,tSI
PFatC,0.049378642,<0.05,tSI
lnPGutC,0.049023467,<0.05,tSI
lnPLivC,0.232743284,0.1-0.3,tSI
lnPRapC,0.050052514,0.05-0.1,tSI
lnPRespC,0.055823406,0.05-0.1,tSI
lnPKidC,0.262867734,0.1-0.3,tSI
lnPSlwC,0.046464889,<0.05,tSI
lnPBrnC,0.046634156,<0.05,tSI
lnPRBCPlasTCAC,0.099710298,0.05-0.1,tSI
lnPKidTCAC,0.156015763,0.1-0.3,tSI
lnPBrnTCAC,0.047366142,<0.05,tSI
lnPBodTCAC,0.073716523,0.05-0.1,tSI
lnPLivTCAC,0.072684487,0.05-0.1,tSI
lnkDissocC,0.050406581,0.05-0.1,tSI
lnBMaxkDC,0.048304551,<0.05,tSI
lnPBodTCVGC,0.048169112,<0.05,tSI
lnPLivTCVGC,0.249880593,0.1-0.3,tSI
lnPKidTCVGC,0.058345679,0.05-0.1,tSI
lnPBodTCVCC,0.06101213,0.05-0.1,tSI
lnPLivTCVCC,0.313090883,>0.3,tSI
lnPKidTCVCC,0.244626979,0.1-0.3,tSI
lnPBodNATC,0.065440366,0.05-0.1,tSI
lnPLivNATC,0.240277459,0.1-0.3,tSI
lnPKidNATC,0.273837567,0.1-0.3,tSI
lnKMC,0.084093915,0.05-0.1,tSI
lnClC,0.529116671,>0.3,tSI
lnCl2OxC,0.501178122,>0.3,tSI
lnFracOtherC,0.048148729,<0.05,tSI
lnkUrnTCAC,0.049516203,<0.05,tSI
lnkMetTCAC,0.054357759,0.05-0.1,tSI
lnClTCVGC,0.518481335,>0.3,tSI
lnkKidTCVCC,0.403846401,>0.3,tSI
lnkKidNATC,0.447197578,>0.3,tSI
lnkDCAC,0.06258186,0.05-0.1,tSI
lnkUrnNATC,0.510177009,>0.3,tSI
lnQCC,0.03153108,<0.05,tCI
lnVPRC,0.017549241,<0.05,tCI
QFatC,0.014622559,<0.05,tCI
QGutC,0.028658999,<0.05,tCI
QLivC,0.019463658,<0.05,tCI
QSlwC,0.03313388,<0.05,tCI
QKidC,0.033845433,<0.05,tCI
FracPlasC,0.012073842,<0.05,tCI
VFatC,0.027955317,<0.05,tCI
VGutC,0.022887271,<0.05,tCI
VLivC,0.019772595,<0.05,tCI
VRapC,0.03820313,<0.05,tCI
VRespLumC,0.023414372,<0.05,tCI
VRespEffC,0.017945358,<0.05,tCI
VKidC,0.025823587,<0.05,tCI
VBldC,0.020730266,<0.05,tCI
lnkTSD,0.069109515,0.05-0.1,tCI
lnkAS,0.024006766,<0.05,tCI
lnkASAq,0.055551657,0.05-0.1,tCI
lnkAD,0.041421679,<0.05,tCI
lnkTSDAq,0.069935478,0.05-0.1,tCI
lnkADAq,0.086407139,0.05-0.1,tCI
PBC,0.023391077,<0.05,tCI
PFatC,0.02010359,<0.05,tCI
lnPGutC,0.030442677,<0.05,tCI
lnPLivC,0.019840648,<0.05,tCI
lnPRapC,0.043314331,<0.05,tCI
lnPRespC,0.047848431,<0.05,tCI
lnPKidC,0.01787597,<0.05,tCI
lnPSlwC,0.036529563,<0.05,tCI
lnPBrnC,0.019045947,<0.05,tCI
lnPRBCPlasTCAC,0.024241495,<0.05,tCI
lnPKidTCAC,0.040083525,<0.05,tCI
lnPBrnTCAC,0.014789015,<0.05,tCI
lnPBodTCAC,0.053716106,0.05-0.1,tCI
lnPLivTCAC,0.023242943,<0.05,tCI
lnkDissocC,0.031934558,<0.05,tCI
lnBMaxkDC,0.030020123,<0.05,tCI
lnPBodTCVGC,0.031157556,<0.05,tCI
lnPLivTCVGC,0.022648608,<0.05,tCI
lnPKidTCVGC,0.074237542,0.05-0.1,tCI
lnPBodTCVCC,0.017360056,<0.05,tCI
lnPLivTCVCC,0.04511888,<0.05,tCI
lnPKidTCVCC,0.028571871,<0.05,tCI
lnPBodNATC,0.018955826,<0.05,tCI
lnPLivNATC,0.023778068,<0.05,tCI
lnPKidNATC,0.096757556,0.05-0.1,tCI
lnKMC,0.044770169,<0.05,tCI
lnClC,0.03633715,<0.05,tCI
lnCl2OxC,0.031606806,<0.05,tCI
lnFracOtherC,0.015623218,<0.05,tCI
lnkUrnTCAC,0.038055593,<0.05,tCI
lnkMetTCAC,0.041143462,<0.05,tCI
lnClTCVGC,0.031515693,<0.05,tCI
lnkKidTCVCC,0.019291589,<0.05,tCI
lnkKidNATC,0.042066037,<0.05,tCI
lnkDCAC,0.022867755,<0.05,tCI
lnkUrnNATC,0.029496621,<0.05,tCI
lnQCC,0.069227746,0.05-0.1,iSI
lnVPRC,0.050281761,0.05-0.1,iSI
QFatC,0.047182798,<0.05,iSI
QGutC,0.053127788,0.05-0.1,iSI
QLivC,0.045386993,<0.05,iSI
QSlwC,0.054333078,0.05-0.1,iSI
QKidC,0.047994613,<0.05,iSI
FracPlasC,0.044522693,<0.05,iSI
VFatC,0.050985224,0.05-0.1,iSI
VGutC,0.047457413,<0.05,iSI
VLivC,0.049614186,<0.05,iSI
VRapC,0.052525202,0.05-0.1,iSI
VRespLumC,0.047672166,<0.05,iSI
VRespEffC,0.046368752,<0.05,iSI
VKidC,0.055143219,0.05-0.1,iSI
VBldC,0.048761687,<0.05,iSI
lnkTSD,0.064017219,0.05-0.1,iSI
lnkAS,0.04703119,<0.05,iSI
lnkASAq,0.158886827,0.1-0.3,iSI
lnkAD,0.052935882,0.05-0.1,iSI
lnkTSDAq,0.128878276,0.1-0.3,iSI
lnkADAq,0.219425585,0.1-0.3,iSI
PBC,0.053475013,0.05-0.1,iSI
PFatC,0.048783305,<0.05,iSI
lnPGutC,0.049015543,<0.05,iSI
lnPLivC,0.060671454,0.05-0.1,iSI
lnPRapC,0.050031408,0.05-0.1,iSI
lnPRespC,0.055816777,0.05-0.1,iSI
lnPKidC,0.059116234,0.05-0.1,iSI
lnPSlwC,0.046452986,<0.05,iSI
lnPBrnC,0.046625637,<0.05,iSI
lnPRBCPlasTCAC,0.045659041,<0.05,iSI
lnPKidTCAC,0.071652855,0.05-0.1,iSI
lnPBrnTCAC,0.047360388,<0.05,iSI
lnPBodTCAC,0.06857418,0.05-0.1,iSI
lnPLivTCAC,0.051556525,0.05-0.1,iSI
lnkDissocC,0.050401213,0.05-0.1,iSI
lnBMaxkDC,0.048295818,<0.05,iSI
lnPBodTCVGC,0.047872888,<0.05,iSI
lnPLivTCVGC,0.123192663,0.1-0.3,iSI
lnPKidTCVGC,0.058302528,0.05-0.1,iSI
lnPBodTCVCC,0.057404994,0.05-0.1,iSI
lnPLivTCVCC,0.208259343,0.1-0.3,iSI
lnPKidTCVCC,0.162738015,0.1-0.3,iSI
lnPBodNATC,0.053180505,0.05-0.1,iSI
lnPLivNATC,0.166196114,0.1-0.3,iSI
lnPKidNATC,0.176993978,0.1-0.3,iSI
lnKMC,0.075136867,0.05-0.1,iSI
lnClC,0.147373451,0.1-0.3,iSI
lnCl2OxC,0.218522295,0.1-0.3,iSI
lnFracOtherC,0.048137722,<0.05,iSI
lnkUrnTCAC,0.0495131,<0.05,iSI
lnkMetTCAC,0.05323377,0.05-0.1,iSI
lnClTCVGC,0.22386815,0.1-0.3,iSI
lnkKidTCVCC,0.178512004,0.1-0.3,iSI
lnkKidNATC,0.238202032,0.1-0.3,iSI
lnkDCAC,0.057694341,0.05-0.1,iSI
lnkUrnNATC,0.242516953,0.1-0.3,iSI
lnQCC,0.032069651,<0.05,iCI
lnVPRC,0.017801426,<0.05,iCI
QFatC,0.014598696,<0.05,iCI
QGutC,0.02865601,<0.05,iCI
QLivC,0.019464376,<0.05,iCI
QSlwC,0.03312057,<0.05,iCI
QKidC,0.033855987,<0.05,iCI
FracPlasC,0.0120523,<0.05,iCI
VFatC,0.027910829,<0.05,iCI
VGutC,0.022885744,<0.05,iCI
VLivC,0.019777066,<0.05,iCI
VRapC,0.038200571,<0.05,iCI
VRespLumC,0.023403001,<0.05,iCI
VRespEffC,0.017941725,<0.05,iCI
VKidC,0.02584523,<0.05,iCI
VBldC,0.020662527,<0.05,iCI
lnkTSD,0.069103016,0.05-0.1,iCI
lnkAS,0.02400564,<0.05,iCI
lnkASAq,0.037830571,<0.05,iCI
lnkAD,0.041418883,<0.05,iCI
lnkTSDAq,0.070823912,0.05-0.1,iCI
lnkADAq,0.053712779,0.05-0.1,iCI
PBC,0.023510191,<0.05,iCI
PFatC,0.019928471,<0.05,iCI
lnPGutC,0.0304397,<0.05,iCI
lnPLivC,0.019842101,<0.05,iCI
lnPRapC,0.043271504,<0.05,iCI
lnPRespC,0.047843916,<0.05,iCI
lnPKidC,0.01786025,<0.05,iCI
lnPSlwC,0.036522995,<0.05,iCI
lnPBrnC,0.019042846,<0.05,iCI
lnPRBCPlasTCAC,0.024237583,<0.05,iCI
lnPKidTCAC,0.040085178,<0.05,iCI
lnPBrnTCAC,0.014787331,<0.05,iCI
lnPBodTCAC,0.053708852,0.05-0.1,iCI
lnPLivTCAC,0.023232192,<0.05,iCI
lnkDissocC,0.03192787,<0.05,iCI
lnBMaxkDC,0.030018907,<0.05,iCI
lnPBodTCVGC,0.031238481,<0.05,iCI
lnPLivTCVGC,0.022709156,<0.05,iCI
lnPKidTCVGC,0.074204801,0.05-0.1,iCI
lnPBodTCVCC,0.017403637,<0.05,iCI
lnPLivTCVCC,0.05441996,0.05-0.1,iCI
lnPKidTCVCC,0.025790602,<0.05,iCI
