"","value","cutoff","cat"
"lnKMC1",0.0101972794519503,"<0.05","mCI"
"lnClC1",0.0412885630226015,"<0.05","mCI"
"lnCl2OxC1",0.0169465594420414,"<0.05","mCI"
"lnFracOtherC1",0.000335252569973539,"<0.05","mCI"
"lnkUrnTCAC1",0.00145492028870631,"<0.05","mCI"
"lnkMetTCAC1",0.00529976899871128,"<0.05","mCI"
"lnClTCVGC1",0.03650316987021,"<0.05","mCI"
"lnkKidTCVCC1",0.0150792630336317,"<0.05","mCI"
"lnkKidNATC1",0.0424429177769175,"<0.05","mCI"
"lnkDCAC1",0.000841446331736329,"<0.05","mCI"
"lnkUrnNATC1",0.0303439861982247,"<0.05","mCI"
"lnQCC2",0.123879147962773,"0.1-0.3","tSI"
"lnVPRC2",0.0743553936887419,"0.05-0.1","tSI"
"QFatC2",0.0639610779092325,"0.05-0.1","tSI"
"QGutC2",0.0697019838496045,"0.05-0.1","tSI"
"QLivC2",0.060705974015738,"0.05-0.1","tSI"
"QSlwC2",0.0621349732494167,"0.05-0.1","tSI"
"QKidC2",0.0573994936436123,"0.05-0.1","tSI"
"FracPlasC2",0.0558208440390559,"0.05-0.1","tSI"
"VFatC2",0.0667049688006029,"0.05-0.1","tSI"
"VGutC2",0.0625584441870862,"0.05-0.1","tSI"
"VLivC2",0.0677863832846769,"0.05-0.1","tSI"
"VRapC2",0.062704991383152,"0.05-0.1","tSI"
"VRespLumC2",0.0564516610507544,"0.05-0.1","tSI"
"VRespEffC2",0.0699703158427386,"0.05-0.1","tSI"
"VKidC2",0.0592812547752249,"0.05-0.1","tSI"
"VBldC2",0.0697201428493426,"0.05-0.1","tSI"
"lnkTSD2",0.0640264060737481,"0.05-0.1","tSI"
"lnkAS2",0.0530141437250867,"0.05-0.1","tSI"
"lnkASAq2",0.489116004237423,">0.3","tSI"
"lnkAD2",0.0561479741293523,"0.05-0.1","tSI"
"lnkTSDAq2",0.361768061559281,">0.3","tSI"
"lnkADAq2",0.708029148032462,">0.3","tSI"
"PBC2",0.0659590116776503,"0.05-0.1","tSI"
"PFatC2",0.0880781839979788,"0.05-0.1","tSI"
"lnPGutC2",0.0648177458847675,"0.05-0.1","tSI"
"lnPLivC2",0.23274328369956,"0.1-0.3","tSI"
"lnPRapC2",0.0796687526809713,"0.05-0.1","tSI"
"lnPRespC2",0.0599762079183551,"0.05-0.1","tSI"
"lnPKidC2",0.262867734357038,"0.1-0.3","tSI"
"lnPSlwC2",0.0600431160796356,"0.05-0.1","tSI"
"lnPBrnC2",0.0660400202780948,"0.05-0.1","tSI"
"lnPRBCPlasTCAC2",0.136983924987894,"0.1-0.3","tSI"
"lnPKidTCAC2",0.170605594541488,"0.1-0.3","tSI"
"lnPBrnTCAC2",0.0596290574180792,"0.05-0.1","tSI"
"lnPBodTCAC2",0.0737165230959225,"0.05-0.1","tSI"
"lnPLivTCAC2",0.0824823846468886,"0.05-0.1","tSI"
"lnkDissocC2",0.0678805925810795,"0.05-0.1","tSI"
"lnBMaxkDC2",0.065643508118803,"0.05-0.1","tSI"
"lnPBodTCVGC2",0.0597741571129397,"0.05-0.1","tSI"
"lnPLivTCVGC2",0.249880593292135,"0.1-0.3","tSI"
"lnPKidTCVGC2",0.0585062928846768,"0.05-0.1","tSI"
"lnPBodTCVCC2",0.0610987043321372,"0.05-0.1","tSI"
"lnPLivTCVCC2",0.313090882915289,">0.3","tSI"
"lnPKidTCVCC2",0.24462697869204,"0.1-0.3","tSI"
"lnPBodNATC2",0.0745164481807949,"0.05-0.1","tSI"
"lnPLivNATC2",0.242127992920489,"0.1-0.3","tSI"
"lnPKidNATC2",0.279835159740291,"0.1-0.3","tSI"
"lnKMC2",0.100544225277435,"0.1-0.3","tSI"
"lnClC2",0.529116671162199,">0.3","tSI"
"lnCl2OxC2",0.501178122087807,">0.3","tSI"
"lnFracOtherC2",0.0730268341420219,"0.05-0.1","tSI"
"lnkUrnTCAC2",0.0668398910383485,"0.05-0.1","tSI"
"lnkMetTCAC2",0.275700635955064,"0.1-0.3","tSI"
"lnClTCVGC2",0.518481335233204,">0.3","tSI"
"lnkKidTCVCC2",0.403846400503269,">0.3","tSI"
"lnkKidNATC2",0.447197577849784,">0.3","tSI"
"lnkDCAC2",0.0693655269696616,"0.05-0.1","tSI"
"lnkUrnNATC2",0.510177009149711,">0.3","tSI"
"lnQCC3",0.0316468238409698,"<0.05","tCI"
"lnVPRC3",0.0235923445218578,"<0.05","tCI"
"QFatC3",0.0224668287673187,"<0.05","tCI"
