Mouse.ID,strain,time,CLiv,CKid,CLivTCA,CKidTCA,CPlasTCA,CBldTCVG,CLivTCVG,CKidTCVG,CBldTCVC,CLivTCVC,CKidTCVC,CBldNAT,CLivNAT,CKidNAT
jac_CC-233,CC071/TauUnc,4,114.5059701,62.30076189,107.5793537,65.91628191,90.16986153,0.003130465,0.103176092,0.009664731,0.001150988,0.000604418,0.023774028,0.006738648,0.048535305,0.007659899
jac_CC-234,CC071/TauUnc,12,42.39966147,13.06804972,265.4421491,36.91029384,301.8841879,0.001642122,0.040447467,0.008851414,0.000321141,0.000330103,0.026484403,0.000998409,0.003879991,0.008046848
jac_CC-235,CC071/TauUnc,24,15.30031545,7.24450859,143.2691546,35.51148937,109.6178276,,,,,,,,,
jac_CC-237,CC042/GeniUnc,2,103.0635426,91.02271206,104.6935241,70.81479334,162.9068125,0.01249926,0.249517933,0.031718037,0.01325177,0.001800897,0.073858057,0.046976875,0.084198515,0.04516751
jac_CC-238,CC042/GeniUnc,4,61.78422838,54.24384487,60.16059705,83.43125436,37.67447424,0.002454969,0.147421954,0.016288695,0.001822415,0.000599144,0.044072746,0.006646913,0.062118546,0.019707805
jac_CC-240,CC006/TauUnc,2,151.6044047,79.7640492,32.81339901,38.2773642,142.7379659,0.002262208,0.164604606,0.017648406,0.00219475,0.00163622,0.060199515,0.007632971,0.080981031,0.015838168
jac_CC-241,CC006/TauUnc,4,163.5491942,95.1391165,66.48974604,68.04130862,,0.002891004,0.165746351,0.024935573,0.002981986,0.000713235,0.073308481,0.012820032,0.08460121,0.02055165
jac_CC-242,CC006/TauUnc,12,103.2999119,54.65707937,92.79715602,150.8781475,177.8756238,,0.064427083,0.010057126,,0.001287598,0.022595468,,0.022097533,0.007084743
jac_CC-243,CC035/Unc,2,169.231572,105.8132862,32.98857923,55.90493842,,0.003014519,0.147150328,0.007356397,0.003075255,0.003223155,0.036212368,0.009325484,0.04430022,0.008887479
jac_CC-244,CC035/Unc,12,23.29814926,12.69897909,24.07965698,88.0308035,,0.001568794,0.023300475,0.002276237,0.000525817,0.000459607,0.004402821,0.000791585,0.005628769,0.00116466
jac_CC-245,CC011,2,133.0661639,76.34755844,22.25432725,38.39300813,20.8940919,0.008261751,0.063007641,0.006531107,0.006395374,0.000872405,0.016948887,0.018088577,0.048384576,0.005882488
jac_CC-246,CC011,4,65.06368938,35.78355063,39.2229556,53.12138285,129.4837105,0.001795336,0.02657975,0.004009139,0.000589045,0.000265217,0.008408671,0.001596977,0.015296993,0.004192302
jac_CC-247,CC011,24,83.60910309,10.41556311,30.40258803,74.79127488,31.79766485,,,,,,,,,
jac_CC-249,CC013,24,21.98709082,5.970623176,70.80308569,103.6456766,157.5068061,,,,,,,,,
jac_CC-250,CC013,2,119.6765099,102.256566,46.88564092,51.84214561,106.7862858,0.002583471,0.231127442,0.016331354,0.003526871,0.001743322,0.051458417,0.0098752,0.099985235,0.026905523
jac_CC-252,CC019,1,194.0669737,173.0384852,14.67782672,17.9810024,84.78062583,0.002592203,0.107094234,0.011779071,0.001434783,0.001041293,0.038541967,0.005686582,0.092370311,0.00692642
jac_CC-253,CC019,2,121.2637232,119.3442986,19.95089582,31.73266302,38.20722368,0.002573312,0.068293022,0.008081151,0.000727445,0.000560977,0.019416581,0.0046641,0.04837062,0.004714469
jac_CC-254,CC019,4,139.6472403,127.5378781,64.64504717,69.72317552,17.26161761,0.002229507,0.110062885,0.012042326,0.000859864,0.001021544,0.031759756,0.002955131,0.050551245,0.007620466
jac_CC-255,CC019,24,5.373336009,3.253181062,63.07545471,98.29582401,15.13667689,,,,,,,,,
jac_CC-257,CC061,2,208.5722954,,21.96754872,42.16141893,53.38933531,0.008112441,0.080619622,0.008594932,0.006783788,0.000685227,0.01321133,0.010842935,0.022433528,0.009524379
jac_CC-258,CC061,4,194.5296864,61.6585692,69.97933772,79.73838783,106.6677852,0.008559759,0.051505809,0.01106096,0.004025877,0.00036876,0.01399877,0.007703576,0.016465991,0.009257978
jac_CC-259,CC061,24,46.66727843,12.69424589,35.17072318,53.63610453,107.3747976,,,,,,,,,
jac_CC-261,CC063,2,175.9804387,110.801275,38.24097195,36.6374573,23.52804049,0.002408597,0.05844116,0.014672515,0.002263332,0.000942695,0.037060601,0.005975156,0.083611639,0.025955613
jac_CC-262,CC063,4,133.0622232,155.4780851,50.81264217,101.2304047,,,0.030351433,0.011117002,,0.000569131,0.026783487,,0.050039987,0.035619008
jac_CC-263,CC063,24,9.043751549,4.404871827,40.86987438,55.10946749,33.28580225,,,,,,,,,
